0 1 {}
1 2 {}
2 3 {}
3 4 {}
4 5 {}
4 14 {}
4 15 {}
5 6 {}
6 7 {}
7 8 {}
8 9 {}
9 20 {}
9 38 {}
10 0 {}
10 39 {}
11 10 {}
12 11 {}
13 12 {}
14 4 {}
14 13 {}
15 4 {}
15 14 {}
16 15 {}
17 16 {}
18 17 {}
18 19 {}
19 18 {}
19 20 {}
19 21 {}
20 9 {}
20 19 {}
20 24 {}
21 18 {}
21 19 {}
22 21 {}
23 22 {}
23 36 {}
23 40 {}
24 20 {}
24 25 {}
24 28 {}
25 26 {}
26 27 {}
27 31 {}
27 36 {}
27 41 {}
28 24 {}
28 29 {}
28 32 {}
29 28 {}
29 30 {}
29 33 {}
30 29 {}
30 31 {}
30 34 {}
31 27 {}
31 30 {}
31 35 {}
31 42 {}
32 28 {}
32 33 {}
32 37 {}
33 29 {}
33 32 {}
34 30 {}
35 31 {}
36 23 {}
36 27 {}
37 28 {}
37 32 {}
38 37 {}
39 10 {}
40 23 {}
41 27 {}
41 42 {}
42 31 {}
42 41 {}
